"data_type","synthetic_source","obligation_id","user_id","obligation_type","deadline_id","payment_rule_id","tax_assessment_id","due_date","payment_required","expected_amount","amount_paid","remaining_amount","payment_status","status"
"synthetic","generated_for_testing","OBLITR0014","USR0014","itr_filing","DL-010","","TAX0014","2026-08-31","NO","0","0","0","not_required","open"
"synthetic","generated_for_testing","OBLPAY0015","USR0015","advance_tax","DL-004","PAY-004","TAX0015","2026-03-15","YES","43470","43470","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0015","USR0015","itr_filing","DL-012","","TAX0015","2026-08-31","NO","0","0","0","not_required","completed"
"synthetic","generated_for_testing","OBLPAY0016","USR0016","self_assessment_tax","DL-010","PAY-006","TAX0016","2026-08-31","YES","61157","61157","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0016","USR0016","itr_filing","DL-011","","TAX0016","2026-08-31","NO","0","0","0","not_required","open"
"synthetic","generated_for_testing","OBLPAY0017","USR0017","advance_tax","DL-004","PAY-004","TAX0017","2026-03-15","YES","64486","64486","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0017","USR0017","itr_filing","DL-010","","TAX0017","2026-08-31","NO","0","0","0","not_required","open"
"synthetic","generated_for_testing","OBLPAY0018","USR0018","self_assessment_tax","DL-010","PAY-006","TAX0018","2026-08-31","YES","57521","57521","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0018","USR0018","itr_filing","DL-012","","TAX0018","2026-08-31","NO","0","0","0","not_required","completed"
"synthetic","generated_for_testing","OBLPAY0019","USR0019","advance_tax","DL-004","PAY-004","TAX0019","2026-03-15","YES","71143","71143","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0019","USR0019","itr_filing","DL-010","","TAX0019","2026-08-31","NO","0","0","0","not_required","open"
"synthetic","generated_for_testing","OBLPAY0020","USR0020","self_assessment_tax","DL-010","PAY-006","TAX0020","2026-08-31","YES","68640","68640","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0020","USR0020","itr_filing","DL-011","","TAX0020","2026-08-31","NO","0","0","0","not_required","open"
"synthetic","generated_for_testing","OBLPAY0021","USR0021","advance_tax","DL-004","PAY-004","TAX0021","2026-03-15","YES","67516","67516","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0021","USR0021","itr_filing","DL-012","","TAX0021","2026-08-31","NO","0","0","0","not_required","completed"
"synthetic","generated_for_testing","OBLPAY0022","USR0022","self_assessment_tax","DL-010","PAY-006","TAX0022","2026-08-31","YES","81130","81130","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0022","USR0022","itr_filing","DL-010","","TAX0022","2026-08-31","NO","0","0","0","not_required","open"
"synthetic","generated_for_testing","OBLPAY0023","USR0023","advance_tax","DL-004","PAY-004","TAX0023","2026-03-15","YES","84458","84458","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0023","USR0023","itr_filing","DL-010","","TAX0023","2026-08-31","NO","0","0","0","not_required","open"
"synthetic","generated_for_testing","OBLPAY0024","USR0024","self_assessment_tax","DL-010","PAY-006","TAX0024","2026-08-31","YES","77510","77510","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0024","USR0024","itr_filing","DL-012","","TAX0024","2026-08-31","NO","0","0","0","not_required","completed"
"synthetic","generated_for_testing","OBLPAY0025","USR0025","advance_tax","DL-004","PAY-004","TAX0025","2026-03-15","YES","84971","84971","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0025","USR0025","itr_filing","DL-010","","TAX0025","2026-08-31","NO","0","0","0","not_required","open"
"synthetic","generated_for_testing","OBLPAY0026","USR0026","self_assessment_tax","DL-010","PAY-006","TAX0026","2026-08-31","YES","99187","99187","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0026","USR0026","itr_filing","DL-010","","TAX0026","2026-08-31","NO","0","0","0","not_required","open"
"synthetic","generated_for_testing","OBLPAY0027","USR0027","advance_tax","DL-004","PAY-004","TAX0027","2026-03-15","YES","89471","89471","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0027","USR0027","itr_filing","DL-012","","TAX0027","2026-08-31","NO","0","0","0","not_required","completed"
"synthetic","generated_for_testing","OBLPAY0028","USR0028","self_assessment_tax","DL-010","PAY-006","TAX0028","2026-08-31","YES","109714","109714","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0028","USR0028","itr_filing","DL-011","","TAX0028","2026-08-31","NO","0","0","0","not_required","open"
"synthetic","generated_for_testing","OBLPAY0029","USR0029","advance_tax","DL-004","PAY-004","TAX0029","2026-03-15","YES","114977","114977","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0029","USR0029","itr_filing","DL-010","","TAX0029","2026-08-31","NO","0","0","0","not_required","open"
"synthetic","generated_for_testing","OBLPAY0030","USR0030","self_assessment_tax","DL-010","PAY-006","TAX0030","2026-08-31","YES","98748","98748","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0030","USR0030","itr_filing","DL-012","","TAX0030","2026-08-31","NO","0","0","0","not_required","completed"
"synthetic","generated_for_testing","OBLPAY0031","USR0031","advance_tax","DL-004","PAY-004","TAX0031","2026-03-15","YES","125503","125503","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0031","USR0031","itr_filing","DL-010","","TAX0031","2026-08-31","NO","0","0","0","not_required","open"
"synthetic","generated_for_testing","OBLPAY0032","USR0032","self_assessment_tax","DL-010","PAY-006","TAX0032","2026-08-31","YES","130766","130766","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0032","USR0032","itr_filing","DL-011","","TAX0032","2026-08-31","NO","0","0","0","not_required","open"
"synthetic","generated_for_testing","OBLPAY0033","USR0033","advance_tax","DL-004","PAY-004","TAX0033","2026-03-15","YES","121129","121129","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0033","USR0033","itr_filing","DL-012","","TAX0033","2026-08-31","NO","0","0","0","not_required","completed"
"synthetic","generated_for_testing","OBLPAY0034","USR0034","self_assessment_tax","DL-010","PAY-006","TAX0034","2026-08-31","YES","141293","141293","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0034","USR0034","itr_filing","DL-010","","TAX0034","2026-08-31","NO","0","0","0","not_required","open"
"synthetic","generated_for_testing","OBLPAY0035","USR0035","advance_tax","DL-004","PAY-004","TAX0035","2026-03-15","YES","95839","95839","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0035","USR0035","itr_filing","DL-010","","TAX0035","2026-08-31","NO","0","0","0","not_required","open"
"synthetic","generated_for_testing","OBLPAY0036","USR0036","self_assessment_tax","DL-010","PAY-006","TAX0036","2026-08-31","YES","136958","136958","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0036","USR0036","itr_filing","DL-012","","TAX0036","2026-08-31","NO","0","0","0","not_required","completed"
"synthetic","generated_for_testing","OBLPAY0037","USR0037","advance_tax","DL-004","PAY-004","TAX0037","2026-03-15","YES","157082","157082","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0037","USR0037","itr_filing","DL-010","","TAX0037","2026-08-31","NO","0","0","0","not_required","open"
"synthetic","generated_for_testing","OBLPAY0038","USR0038","self_assessment_tax","DL-010","PAY-006","TAX0038","2026-08-31","YES","162346","162346","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0038","USR0038","itr_filing","DL-010","","TAX0038","2026-08-31","NO","0","0","0","not_required","open"
"synthetic","generated_for_testing","OBLPAY0039","USR0039","advance_tax","DL-004","PAY-004","TAX0039","2026-03-15","YES","152788","152788","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0039","USR0039","itr_filing","DL-012","","TAX0039","2026-08-31","NO","0","0","0","not_required","completed"
"synthetic","generated_for_testing","OBLPAY0040","USR0040","self_assessment_tax","DL-010","PAY-006","TAX0040","2026-08-31","YES","162245","162245","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0040","USR0040","itr_filing","DL-011","","TAX0040","2026-08-31","NO","0","0","0","not_required","open"
"synthetic","generated_for_testing","OBLPAY0041","USR0041","advance_tax","DL-004","PAY-004","TAX0041","2026-03-15","YES","178135","178135","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0041","USR0041","itr_filing","DL-010","","TAX0041","2026-08-31","NO","0","0","0","not_required","open"
"synthetic","generated_for_testing","OBLPAY0042","USR0042","self_assessment_tax","DL-010","PAY-006","TAX0042","2026-08-31","YES","168617","168617","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0042","USR0042","itr_filing","DL-012","","TAX0042","2026-08-31","NO","0","0","0","not_required","completed"
"synthetic","generated_for_testing","OBLPAY0043","USR0043","advance_tax","DL-004","PAY-004","TAX0043","2026-03-15","YES","188662","188662","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0043","USR0043","itr_filing","DL-010","","TAX0043","2026-08-31","NO","0","0","0","not_required","open"
"synthetic","generated_for_testing","OBLPAY0044","USR0044","self_assessment_tax","DL-010","PAY-006","TAX0044","2026-08-31","YES","193925","193925","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0044","USR0044","itr_filing","DL-011","","TAX0044","2026-08-31","NO","0","0","0","not_required","open"
"synthetic","generated_for_testing","OBLPAY0045","USR0045","advance_tax","DL-004","PAY-004","TAX0045","2026-03-15","YES","177426","177426","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0045","USR0045","itr_filing","DL-012","","TAX0045","2026-08-31","NO","0","0","0","not_required","completed"
"synthetic","generated_for_testing","OBLPAY0046","USR0046","self_assessment_tax","DL-010","PAY-006","TAX0046","2026-08-31","YES","204451","204451","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0046","USR0046","itr_filing","DL-010","","TAX0046","2026-08-31","NO","0","0","0","not_required","open"
"synthetic","generated_for_testing","OBLPAY0047","USR0047","advance_tax","DL-004","PAY-004","TAX0047","2026-03-15","YES","209714","209714","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0047","USR0047","itr_filing","DL-010","","TAX0047","2026-08-31","NO","0","0","0","not_required","open"
"synthetic","generated_for_testing","OBLPAY0048","USR0048","self_assessment_tax","DL-010","PAY-006","TAX0048","2026-08-31","YES","200275","200275","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0048","USR0048","itr_filing","DL-012","","TAX0048","2026-08-31","NO","0","0","0","not_required","completed"
"synthetic","generated_for_testing","OBLPAY0049","USR0049","advance_tax","DL-004","PAY-004","TAX0049","2026-03-15","YES","220241","220241","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0049","USR0049","itr_filing","DL-010","","TAX0049","2026-08-31","NO","0","0","0","not_required","open"
"synthetic","generated_for_testing","OBLPAY0050","USR0050","self_assessment_tax","DL-010","PAY-006","TAX0050","2026-08-31","YES","213938","213938","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0050","USR0050","itr_filing","DL-010","","TAX0050","2026-08-31","NO","0","0","0","not_required","open"
