"data_type","synthetic_source","scenario_change_id","scenario_id","user_id","scenario_type","change_field","base_value","changed_value","change_amount","tax_rule_id","rule_source_dataset","impact_calculation","calculated_tax_impact","calculated_compliance_impact","calculated_readiness_impact"
"synthetic","generated_for_testing","SCH0012","SC0012","USR0012","additional_loan_interest","income_or_deduction_amount","854400","974400","120000","DED-008","deduction_rules.csv","change_amount multiplied by supported rule rate","-6000.00","none","evidence_review_required"
"synthetic","generated_for_testing","SCH0013","SC0013","USR0013","salary_increase","income_or_deduction_amount","873600","1003600","130000","RATE-003","tax_rates.csv","change_amount multiplied by supported rule rate","13000.0","none","recalculate"
"synthetic","generated_for_testing","SCH0014","SC0014","USR0014","additional_freelance_income","income_or_deduction_amount","892800","1032800","140000","BIZ-004","business_profession_rules.csv","change_amount multiplied by supported rule rate","28000.0","review_advance_tax","recalculate"
"synthetic","generated_for_testing","SCH0015","SC0015","USR0015","additional_investment","income_or_deduction_amount","912000","1062000","150000","RATE-003","tax_rates.csv","change_amount multiplied by supported rule rate","15000.0","none","evidence_review_required"
"synthetic","generated_for_testing","SCH0016","SC0016","USR0016","capital_gain_event","income_or_deduction_amount","931200","1091200","160000","CG-002","capital_gain_rules.csv","change_amount multiplied by supported rule rate","20000.00","none","evidence_review_required"
"synthetic","generated_for_testing","SCH0017","SC0017","USR0017","tax_saving_investment","income_or_deduction_amount","950400","1120400","170000","DED-001","deduction_rules.csv","change_amount multiplied by supported rule rate","-8500.00","none","evidence_review_required"
"synthetic","generated_for_testing","SCH0018","SC0018","USR0018","additional_loan_interest","income_or_deduction_amount","969600","1149600","180000","DED-008","deduction_rules.csv","change_amount multiplied by supported rule rate","-9000.00","none","evidence_review_required"
"synthetic","generated_for_testing","SCH0019","SC0019","USR0019","salary_increase","income_or_deduction_amount","988800","1178800","190000","RATE-003","tax_rates.csv","change_amount multiplied by supported rule rate","19000.0","none","recalculate"
"synthetic","generated_for_testing","SCH0020","SC0020","USR0020","additional_freelance_income","income_or_deduction_amount","1008000","1208000","200000","BIZ-004","business_profession_rules.csv","change_amount multiplied by supported rule rate","40000.0","review_advance_tax","recalculate"
"synthetic","generated_for_testing","SCH0021","SC0021","USR0021","additional_investment","income_or_deduction_amount","1027200","1237200","210000","RATE-003","tax_rates.csv","change_amount multiplied by supported rule rate","21000.0","none","evidence_review_required"
"synthetic","generated_for_testing","SCH0022","SC0022","USR0022","capital_gain_event","income_or_deduction_amount","1046400","1266400","220000","CG-002","capital_gain_rules.csv","change_amount multiplied by supported rule rate","27500.00","none","evidence_review_required"
"synthetic","generated_for_testing","SCH0023","SC0023","USR0023","tax_saving_investment","income_or_deduction_amount","1065600","1295600","230000","DED-001","deduction_rules.csv","change_amount multiplied by supported rule rate","-11500.00","none","evidence_review_required"
"synthetic","generated_for_testing","SCH0024","SC0024","USR0024","additional_loan_interest","income_or_deduction_amount","1084800","1324800","240000","DED-008","deduction_rules.csv","change_amount multiplied by supported rule rate","-12000.00","none","evidence_review_required"
"synthetic","generated_for_testing","SCH0025","SC0025","USR0025","salary_increase","income_or_deduction_amount","1104000","1354000","250000","RATE-003","tax_rates.csv","change_amount multiplied by supported rule rate","25000.0","none","recalculate"
"synthetic","generated_for_testing","SCH0026","SC0026","USR0026","additional_freelance_income","income_or_deduction_amount","1123200","1383200","260000","BIZ-004","business_profession_rules.csv","change_amount multiplied by supported rule rate","52000.0","review_advance_tax","recalculate"
"synthetic","generated_for_testing","SCH0027","SC0027","USR0027","additional_investment","income_or_deduction_amount","1142400","1412400","270000","RATE-003","tax_rates.csv","change_amount multiplied by supported rule rate","27000.0","none","evidence_review_required"
"synthetic","generated_for_testing","SCH0028","SC0028","USR0028","capital_gain_event","income_or_deduction_amount","1161600","1441600","280000","CG-002","capital_gain_rules.csv","change_amount multiplied by supported rule rate","35000.00","none","evidence_review_required"
"synthetic","generated_for_testing","SCH0029","SC0029","USR0029","tax_saving_investment","income_or_deduction_amount","1180800","1470800","290000","DED-001","deduction_rules.csv","change_amount multiplied by supported rule rate","-14500.00","none","evidence_review_required"
"synthetic","generated_for_testing","SCH0030","SC0030","USR0030","additional_loan_interest","income_or_deduction_amount","1200000","1500000","300000","DED-008","deduction_rules.csv","change_amount multiplied by supported rule rate","-15000.00","none","evidence_review_required"
"synthetic","generated_for_testing","SCH0031","SC0031","USR0031","salary_increase","income_or_deduction_amount","1219200","1529200","310000","RATE-003","tax_rates.csv","change_amount multiplied by supported rule rate","31000.0","none","recalculate"
"synthetic","generated_for_testing","SCH0032","SC0032","USR0032","additional_freelance_income","income_or_deduction_amount","1238400","1558400","320000","BIZ-004","business_profession_rules.csv","change_amount multiplied by supported rule rate","64000.0","review_advance_tax","recalculate"
"synthetic","generated_for_testing","SCH0033","SC0033","USR0033","additional_investment","income_or_deduction_amount","1257600","1587600","330000","RATE-003","tax_rates.csv","change_amount multiplied by supported rule rate","33000.0","none","evidence_review_required"
"synthetic","generated_for_testing","SCH0034","SC0034","USR0034","capital_gain_event","income_or_deduction_amount","1276800","1616800","340000","CG-002","capital_gain_rules.csv","change_amount multiplied by supported rule rate","42500.00","none","evidence_review_required"
"synthetic","generated_for_testing","SCH0035","SC0035","USR0035","tax_saving_investment","income_or_deduction_amount","1296000","1646000","350000","DED-001","deduction_rules.csv","change_amount multiplied by supported rule rate","-17500.00","none","evidence_review_required"
"synthetic","generated_for_testing","SCH0036","SC0036","USR0036","additional_loan_interest","income_or_deduction_amount","1315200","1675200","360000","DED-008","deduction_rules.csv","change_amount multiplied by supported rule rate","-18000.00","none","evidence_review_required"
"synthetic","generated_for_testing","SCH0037","SC0037","USR0037","salary_increase","income_or_deduction_amount","1334400","1704400","370000","RATE-003","tax_rates.csv","change_amount multiplied by supported rule rate","37000.0","none","recalculate"
"synthetic","generated_for_testing","SCH0038","SC0038","USR0038","additional_freelance_income","income_or_deduction_amount","1353600","1733600","380000","BIZ-004","business_profession_rules.csv","change_amount multiplied by supported rule rate","76000.0","review_advance_tax","recalculate"
"synthetic","generated_for_testing","SCH0039","SC0039","USR0039","additional_investment","income_or_deduction_amount","1372800","1762800","390000","RATE-003","tax_rates.csv","change_amount multiplied by supported rule rate","39000.0","none","evidence_review_required"
"synthetic","generated_for_testing","SCH0040","SC0040","USR0040","capital_gain_event","income_or_deduction_amount","1392000","1792000","400000","CG-002","capital_gain_rules.csv","change_amount multiplied by supported rule rate","50000.00","none","evidence_review_required"
"synthetic","generated_for_testing","SCH0041","SC0041","USR0041","tax_saving_investment","income_or_deduction_amount","1411200","1821200","410000","DED-001","deduction_rules.csv","change_amount multiplied by supported rule rate","-20500.00","none","evidence_review_required"
"synthetic","generated_for_testing","SCH0042","SC0042","USR0042","additional_loan_interest","income_or_deduction_amount","1430400","1850400","420000","DED-008","deduction_rules.csv","change_amount multiplied by supported rule rate","-21000.00","none","evidence_review_required"
"synthetic","generated_for_testing","SCH0043","SC0043","USR0043","salary_increase","income_or_deduction_amount","1449600","1879600","430000","RATE-003","tax_rates.csv","change_amount multiplied by supported rule rate","43000.0","none","recalculate"
"synthetic","generated_for_testing","SCH0044","SC0044","USR0044","additional_freelance_income","income_or_deduction_amount","1468800","1908800","440000","BIZ-004","business_profession_rules.csv","change_amount multiplied by supported rule rate","88000.0","review_advance_tax","recalculate"
"synthetic","generated_for_testing","SCH0045","SC0045","USR0045","additional_investment","income_or_deduction_amount","1488000","1938000","450000","RATE-003","tax_rates.csv","change_amount multiplied by supported rule rate","45000.0","none","evidence_review_required"
"synthetic","generated_for_testing","SCH0046","SC0046","USR0046","capital_gain_event","income_or_deduction_amount","1507200","1967200","460000","CG-002","capital_gain_rules.csv","change_amount multiplied by supported rule rate","57500.00","none","evidence_review_required"
"synthetic","generated_for_testing","SCH0047","SC0047","USR0047","tax_saving_investment","income_or_deduction_amount","1526400","1996400","470000","DED-001","deduction_rules.csv","change_amount multiplied by supported rule rate","-23500.00","none","evidence_review_required"
"synthetic","generated_for_testing","SCH0048","SC0048","USR0048","additional_loan_interest","income_or_deduction_amount","1545600","2025600","480000","DED-008","deduction_rules.csv","change_amount multiplied by supported rule rate","-24000.00","none","evidence_review_required"
"synthetic","generated_for_testing","SCH0049","SC0049","USR0049","salary_increase","income_or_deduction_amount","1564800","2054800","490000","RATE-003","tax_rates.csv","change_amount multiplied by supported rule rate","49000.0","none","recalculate"
"synthetic","generated_for_testing","SCH0050","SC0050","USR0050","additional_freelance_income","income_or_deduction_amount","1584000","2084000","500000","BIZ-004","business_profession_rules.csv","change_amount multiplied by supported rule rate","100000.0","review_advance_tax","recalculate"
