"data_type","synthetic_source","transaction_id","user_id","transaction_date","transaction_type","transaction_role","amount","currency","income_record_id","investment_id","capital_gain_id","reconciliation_status"
"synthetic","generated_for_testing","TXN00021","USR0021","2025-04-22","investment_purchase","investment_acquisition","5877","INR","INCX0021purchase",,,"matched"
"synthetic","generated_for_testing","TXN00022","USR0022","2025-04-23","investment_sale","investment_disposal","6014","INR","INCX0022sale","INV0022",,"matched"
"synthetic","generated_for_testing","TXN00023","USR0023","2025-04-24","rent_receipt","income_receipt","6151","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00024","USR0024","2025-04-25","salary_credit","income_receipt","6288","INR","INC002401",,,"matched"
"synthetic","generated_for_testing","TXN00025","USR0025","2025-04-26","bank_interest_credit","income_receipt","6425","INR","INC002502",,,"review"
"synthetic","generated_for_testing","TXN00026","USR0026","2025-04-27","freelance_receipt","income_receipt","6562","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00027","USR0027","2025-04-28","investment_purchase","investment_acquisition","6699","INR","INCX0027purchase",,,"matched"
"synthetic","generated_for_testing","TXN00028","USR0028","2025-04-29","investment_sale","investment_disposal","6836","INR","INCX0028sale","INV0028","CG0028","matched"
"synthetic","generated_for_testing","TXN00029","USR0029","2025-04-30","rent_receipt","income_receipt","6973","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00030","USR0030","2025-05-01","salary_credit","income_receipt","7110","INR","INC003001",,,"review"
"synthetic","generated_for_testing","TXN00031","USR0031","2025-05-02","bank_interest_credit","income_receipt","7247","INR","INC003102",,,"matched"
"synthetic","generated_for_testing","TXN00032","USR0032","2025-05-03","freelance_receipt","income_receipt","7384","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00033","USR0033","2025-05-04","investment_purchase","investment_acquisition","7521","INR","INCX0033purchase",,,"matched"
"synthetic","generated_for_testing","TXN00034","USR0034","2025-05-05","investment_sale","investment_disposal","7658","INR","INCX0034sale","INV0034",,"matched"
"synthetic","generated_for_testing","TXN00035","USR0035","2025-05-06","rent_receipt","income_receipt","7795","INR","INC003503",,,"review"
"synthetic","generated_for_testing","TXN00036","USR0036","2025-05-07","salary_credit","income_receipt","7932","INR","INC003601",,,"matched"
"synthetic","generated_for_testing","TXN00037","USR0037","2025-05-08","bank_interest_credit","income_receipt","8069","INR","INC003702",,,"matched"
"synthetic","generated_for_testing","TXN00038","USR0038","2025-05-09","freelance_receipt","income_receipt","8206","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00039","USR0039","2025-05-10","investment_purchase","investment_acquisition","8343","INR","INCX0039purchase",,,"matched"
"synthetic","generated_for_testing","TXN00040","USR0040","2025-05-11","investment_sale","investment_disposal","8480","INR","INCX0040sale","INV0040","CG0040","review"
"synthetic","generated_for_testing","TXN00041","USR0041","2025-05-12","rent_receipt","income_receipt","8617","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00042","USR0042","2025-05-13","salary_credit","income_receipt","8754","INR","INC004201",,,"matched"
"synthetic","generated_for_testing","TXN00043","USR0043","2025-05-14","bank_interest_credit","income_receipt","8891","INR","INC004302",,,"matched"
"synthetic","generated_for_testing","TXN00044","USR0044","2025-05-15","freelance_receipt","income_receipt","9028","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00045","USR0045","2025-05-16","investment_purchase","investment_acquisition","9165","INR","INCX0045purchase",,,"review"
"synthetic","generated_for_testing","TXN00046","USR0046","2025-05-17","investment_sale","investment_disposal","9302","INR","INCX0046sale","INV0046",,"matched"
"synthetic","generated_for_testing","TXN00047","USR0047","2025-05-18","rent_receipt","income_receipt","9439","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00048","USR0048","2025-05-19","salary_credit","income_receipt","9576","INR","INC004801",,,"matched"
"synthetic","generated_for_testing","TXN00049","USR0049","2025-05-20","bank_interest_credit","income_receipt","9713","INR","INC004902",,,"matched"
"synthetic","generated_for_testing","TXN00050","USR0050","2025-05-21","freelance_receipt","income_receipt","9850","INR",,,,"review"
"synthetic","generated_for_testing","TXN00051","USR0001","2025-05-22","investment_purchase","investment_acquisition","9987","INR","INCX0001purchase",,,"matched"
"synthetic","generated_for_testing","TXN00052","USR0002","2025-05-23","investment_sale","investment_disposal","10124","INR","INCX0002sale","INV0002",,"matched"
"synthetic","generated_for_testing","TXN00053","USR0003","2025-05-24","rent_receipt","income_receipt","10261","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00054","USR0004","2025-05-25","salary_credit","income_receipt","10398","INR","INC000401",,,"matched"
"synthetic","generated_for_testing","TXN00055","USR0005","2025-05-26","bank_interest_credit","income_receipt","10535","INR","INC000502",,,"review"
"synthetic","generated_for_testing","TXN00056","USR0006","2025-05-27","freelance_receipt","income_receipt","10672","INR","INC000603",,,"matched"
"synthetic","generated_for_testing","TXN00057","USR0007","2025-05-28","investment_purchase","investment_acquisition","10809","INR","INCX0007purchase",,,"matched"
"synthetic","generated_for_testing","TXN00058","USR0008","2025-05-29","investment_sale","investment_disposal","10946","INR","INCX0008sale","INV0008","CG0008","matched"
"synthetic","generated_for_testing","TXN00059","USR0009","2025-05-30","rent_receipt","income_receipt","11083","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00060","USR0010","2025-05-31","salary_credit","income_receipt","11220","INR","INC001001",,,"review"
"synthetic","generated_for_testing","TXN00061","USR0011","2025-06-01","bank_interest_credit","income_receipt","11357","INR","INC001102",,,"matched"
"synthetic","generated_for_testing","TXN00062","USR0012","2025-06-02","freelance_receipt","income_receipt","11494","INR","INC001203",,,"matched"
"synthetic","generated_for_testing","TXN00063","USR0013","2025-06-03","investment_purchase","investment_acquisition","11631","INR","INCX0013purchase",,,"matched"
"synthetic","generated_for_testing","TXN00064","USR0014","2025-06-04","investment_sale","investment_disposal","11768","INR","INCX0014sale","INV0014",,"matched"
"synthetic","generated_for_testing","TXN00065","USR0015","2025-06-05","rent_receipt","income_receipt","11905","INR",,,,"review"
"synthetic","generated_for_testing","TXN00066","USR0016","2025-06-06","salary_credit","income_receipt","12042","INR","INC001601",,,"matched"
"synthetic","generated_for_testing","TXN00067","USR0017","2025-06-07","bank_interest_credit","income_receipt","12179","INR","INC001702",,,"matched"
"synthetic","generated_for_testing","TXN00068","USR0018","2025-06-08","freelance_receipt","income_receipt","12316","INR","INC001803",,,"matched"
"synthetic","generated_for_testing","TXN00069","USR0019","2025-06-09","investment_purchase","investment_acquisition","12453","INR","INCX0019purchase",,,"matched"
"synthetic","generated_for_testing","TXN00070","USR0020","2025-06-10","investment_sale","investment_disposal","12590","INR","INCX0020sale","INV0020","CG0020","review"
"synthetic","generated_for_testing","TXN00071","USR0021","2025-06-11","rent_receipt","income_receipt","12727","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00072","USR0022","2025-06-12","salary_credit","income_receipt","12864","INR","INC002201",,,"matched"
"synthetic","generated_for_testing","TXN00073","USR0023","2025-06-13","bank_interest_credit","income_receipt","13001","INR","INC002302",,,"matched"
"synthetic","generated_for_testing","TXN00074","USR0024","2025-06-14","freelance_receipt","income_receipt","13138","INR","INC002403",,,"matched"
"synthetic","generated_for_testing","TXN00075","USR0025","2025-06-15","investment_purchase","investment_acquisition","13275","INR","INCX0025purchase",,,"review"
"synthetic","generated_for_testing","TXN00076","USR0026","2025-06-16","investment_sale","investment_disposal","13412","INR","INCX0026sale","INV0026",,"matched"
"synthetic","generated_for_testing","TXN00077","USR0027","2025-06-17","rent_receipt","income_receipt","13549","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00078","USR0028","2025-06-18","salary_credit","income_receipt","13686","INR","INC002801",,,"matched"
"synthetic","generated_for_testing","TXN00079","USR0029","2025-06-19","bank_interest_credit","income_receipt","13823","INR","INC002902",,,"matched"
"synthetic","generated_for_testing","TXN00080","USR0030","2025-06-20","freelance_receipt","income_receipt","13960","INR","INC003003",,,"review"
"synthetic","generated_for_testing","TXN00081","USR0031","2025-06-21","investment_purchase","investment_acquisition","14097","INR","INCX0031purchase",,,"matched"
"synthetic","generated_for_testing","TXN00082","USR0032","2025-06-22","investment_sale","investment_disposal","14234","INR","INCX0032sale","INV0032","CG0032","matched"
"synthetic","generated_for_testing","TXN00083","USR0033","2025-06-23","rent_receipt","income_receipt","14371","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00084","USR0034","2025-06-24","salary_credit","income_receipt","14508","INR","INC003401",,,"matched"
"synthetic","generated_for_testing","TXN00085","USR0035","2025-06-25","bank_interest_credit","income_receipt","14645","INR","INC003502",,,"review"
"synthetic","generated_for_testing","TXN00086","USR0036","2025-06-26","freelance_receipt","income_receipt","14782","INR","INC003603",,,"matched"
"synthetic","generated_for_testing","TXN00087","USR0037","2025-06-27","investment_purchase","investment_acquisition","14919","INR","INCX0037purchase",,,"matched"
"synthetic","generated_for_testing","TXN00088","USR0038","2025-06-28","investment_sale","investment_disposal","15056","INR","INCX0038sale","INV0038",,"matched"
"synthetic","generated_for_testing","TXN00089","USR0039","2025-06-29","rent_receipt","income_receipt","15193","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00090","USR0040","2025-06-30","salary_credit","income_receipt","15330","INR","INC004001",,,"review"
"synthetic","generated_for_testing","TXN00091","USR0041","2025-07-01","bank_interest_credit","income_receipt","15467","INR","INC004102",,,"matched"
"synthetic","generated_for_testing","TXN00092","USR0042","2025-07-02","freelance_receipt","income_receipt","15604","INR","INC004203",,,"matched"
"synthetic","generated_for_testing","TXN00093","USR0043","2025-07-03","investment_purchase","investment_acquisition","15741","INR","INCX0043purchase",,,"matched"
"synthetic","generated_for_testing","TXN00094","USR0044","2025-07-04","investment_sale","investment_disposal","15878","INR","INCX0044sale","INV0044","CG0044","matched"
"synthetic","generated_for_testing","TXN00095","USR0045","2025-07-05","rent_receipt","income_receipt","16015","INR",,,,"review"
"synthetic","generated_for_testing","TXN00096","USR0046","2025-07-06","salary_credit","income_receipt","16152","INR","INC004601",,,"matched"
"synthetic","generated_for_testing","TXN00097","USR0047","2025-07-07","bank_interest_credit","income_receipt","16289","INR","INC004702",,,"matched"
"synthetic","generated_for_testing","TXN00098","USR0048","2025-07-08","freelance_receipt","income_receipt","16426","INR","INC004803",,,"matched"
"synthetic","generated_for_testing","TXN00099","USR0049","2025-07-09","investment_purchase","investment_acquisition","16563","INR","INCX0049purchase",,,"matched"
"synthetic","generated_for_testing","TXN00100","USR0050","2025-07-10","investment_sale","investment_disposal","16700","INR","INCX0050sale","INV0050",,"review"
"synthetic","generated_for_testing","TXN00101","USR0001","2025-07-11","rent_receipt","income_receipt","16837","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00102","USR0002","2025-07-12","salary_credit","income_receipt","16974","INR","INC000201",,,"matched"
"synthetic","generated_for_testing","TXN00103","USR0003","2025-07-13","bank_interest_credit","income_receipt","17111","INR","INC000302",,,"matched"
"synthetic","generated_for_testing","TXN00104","USR0004","2025-07-14","freelance_receipt","income_receipt","17248","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00105","USR0005","2025-07-15","investment_purchase","investment_acquisition","17385","INR","INCX0005purchase",,,"review"
"synthetic","generated_for_testing","TXN00106","USR0006","2025-07-16","investment_sale","investment_disposal","17522","INR","INCX0006sale","INV0006",,"matched"
"synthetic","generated_for_testing","TXN00107","USR0007","2025-07-17","rent_receipt","income_receipt","17659","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00108","USR0008","2025-07-18","salary_credit","income_receipt","17796","INR","INC000801",,,"matched"
"synthetic","generated_for_testing","TXN00109","USR0009","2025-07-19","bank_interest_credit","income_receipt","17933","INR","INC000902",,,"matched"
"synthetic","generated_for_testing","TXN00110","USR0010","2025-07-20","freelance_receipt","income_receipt","18070","INR",,,,"review"
"synthetic","generated_for_testing","TXN00111","USR0011","2025-07-21","investment_purchase","investment_acquisition","18207","INR","INCX0011purchase",,,"matched"
"synthetic","generated_for_testing","TXN00112","USR0012","2025-07-22","investment_sale","investment_disposal","18344","INR","INCX0012sale","INV0012","CG0012","matched"
"synthetic","generated_for_testing","TXN00113","USR0013","2025-07-23","rent_receipt","income_receipt","18481","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00114","USR0014","2025-07-24","salary_credit","income_receipt","18618","INR","INC001401",,,"matched"
"synthetic","generated_for_testing","TXN00115","USR0015","2025-07-25","bank_interest_credit","income_receipt","18755","INR","INC001502",,,"review"
"synthetic","generated_for_testing","TXN00116","USR0016","2025-07-26","freelance_receipt","income_receipt","18892","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00117","USR0017","2025-07-27","investment_purchase","investment_acquisition","19029","INR","INCX0017purchase",,,"matched"
"synthetic","generated_for_testing","TXN00118","USR0018","2025-07-28","investment_sale","investment_disposal","19166","INR","INCX0018sale","INV0018",,"matched"
"synthetic","generated_for_testing","TXN00119","USR0019","2025-07-29","rent_receipt","income_receipt","19303","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00120","USR0020","2025-07-30","salary_credit","income_receipt","19440","INR","INC002001",,,"review"
"synthetic","generated_for_testing","TXN00121","USR0021","2025-07-31","bank_interest_credit","income_receipt","19577","INR","INC002102",,,"matched"
"synthetic","generated_for_testing","TXN00122","USR0022","2025-08-01","freelance_receipt","income_receipt","19714","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00123","USR0023","2025-08-02","investment_purchase","investment_acquisition","19851","INR","INCX0023purchase",,,"matched"
"synthetic","generated_for_testing","TXN00124","USR0024","2025-08-03","investment_sale","investment_disposal","19988","INR","INCX0024sale","INV0024","CG0024","matched"
"synthetic","generated_for_testing","TXN00125","USR0025","2025-08-04","rent_receipt","income_receipt","20125","INR","INC002503",,,"review"
"synthetic","generated_for_testing","TXN00126","USR0026","2025-08-05","salary_credit","income_receipt","20262","INR","INC002601",,,"matched"
"synthetic","generated_for_testing","TXN00127","USR0027","2025-08-06","bank_interest_credit","income_receipt","20399","INR","INC002702",,,"matched"
"synthetic","generated_for_testing","TXN00128","USR0028","2025-08-07","freelance_receipt","income_receipt","20536","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00129","USR0029","2025-08-08","investment_purchase","investment_acquisition","20673","INR","INCX0029purchase",,,"matched"
"synthetic","generated_for_testing","TXN00130","USR0030","2025-08-09","investment_sale","investment_disposal","20810","INR","INCX0030sale","INV0030",,"review"
"synthetic","generated_for_testing","TXN00131","USR0031","2025-08-10","rent_receipt","income_receipt","20947","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00132","USR0032","2025-08-11","salary_credit","income_receipt","21084","INR","INC003201",,,"matched"
"synthetic","generated_for_testing","TXN00133","USR0033","2025-08-12","bank_interest_credit","income_receipt","21221","INR","INC003302",,,"matched"
"synthetic","generated_for_testing","TXN00134","USR0034","2025-08-13","freelance_receipt","income_receipt","21358","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00135","USR0035","2025-08-14","investment_purchase","investment_acquisition","21495","INR","INCX0035purchase",,,"review"
"synthetic","generated_for_testing","TXN00136","USR0036","2025-08-15","investment_sale","investment_disposal","21632","INR","INCX0036sale","INV0036","CG0036","matched"
"synthetic","generated_for_testing","TXN00137","USR0037","2025-08-16","rent_receipt","income_receipt","21769","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00138","USR0038","2025-08-17","salary_credit","income_receipt","21906","INR","INC003801",,,"matched"
"synthetic","generated_for_testing","TXN00139","USR0039","2025-08-18","bank_interest_credit","income_receipt","22043","INR","INC003902",,,"matched"
"synthetic","generated_for_testing","TXN00140","USR0040","2025-08-19","freelance_receipt","income_receipt","22180","INR",,,,"review"
"synthetic","generated_for_testing","TXN00141","USR0041","2025-08-20","investment_purchase","investment_acquisition","22317","INR","INCX0041purchase",,,"matched"
"synthetic","generated_for_testing","TXN00142","USR0042","2025-08-21","investment_sale","investment_disposal","22454","INR","INCX0042sale","INV0042",,"matched"
"synthetic","generated_for_testing","TXN00143","USR0043","2025-08-22","rent_receipt","income_receipt","22591","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00144","USR0044","2025-08-23","salary_credit","income_receipt","22728","INR","INC004401",,,"matched"
"synthetic","generated_for_testing","TXN00145","USR0045","2025-08-24","bank_interest_credit","income_receipt","22865","INR","INC004502",,,"review"
"synthetic","generated_for_testing","TXN00146","USR0046","2025-08-25","freelance_receipt","income_receipt","23002","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00147","USR0047","2025-08-26","investment_purchase","investment_acquisition","23139","INR","INCX0047purchase",,,"matched"
"synthetic","generated_for_testing","TXN00148","USR0048","2025-08-27","investment_sale","investment_disposal","23276","INR","INCX0048sale","INV0048","CG0048","matched"
"synthetic","generated_for_testing","TXN00149","USR0049","2025-08-28","rent_receipt","income_receipt","23413","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00150","USR0050","2025-08-29","salary_credit","income_receipt","23550","INR","INC005001",,,"review"
"synthetic","generated_for_testing","TXN00151","USR0001","2025-08-30","bank_interest_credit","income_receipt","23687","INR","INC000102",,,"matched"
"synthetic","generated_for_testing","TXN00152","USR0002","2025-08-31","freelance_receipt","income_receipt","23824","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00153","USR0003","2025-09-01","investment_purchase","investment_acquisition","23961","INR","INCX0003purchase",,,"matched"
"synthetic","generated_for_testing","TXN00154","USR0004","2025-09-02","investment_sale","investment_disposal","24098","INR","INCX0004sale","INV0004","CG0004","matched"
"synthetic","generated_for_testing","TXN00155","USR0005","2025-09-03","rent_receipt","income_receipt","24235","INR","INC000503",,,"review"
"synthetic","generated_for_testing","TXN00156","USR0006","2025-09-04","salary_credit","income_receipt","24372","INR","INC000601",,,"matched"
"synthetic","generated_for_testing","TXN00157","USR0007","2025-09-05","bank_interest_credit","income_receipt","24509","INR","INC000702",,,"matched"
"synthetic","generated_for_testing","TXN00158","USR0008","2025-09-06","freelance_receipt","income_receipt","24646","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00159","USR0009","2025-09-07","investment_purchase","investment_acquisition","24783","INR","INCX0009purchase",,,"matched"
"synthetic","generated_for_testing","TXN00160","USR0010","2025-09-08","investment_sale","investment_disposal","24920","INR","INCX0010sale","INV0010",,"review"
"synthetic","generated_for_testing","TXN00161","USR0011","2025-09-09","rent_receipt","income_receipt","25057","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00162","USR0012","2025-09-10","salary_credit","income_receipt","25194","INR","INC001201",,,"matched"
"synthetic","generated_for_testing","TXN00163","USR0013","2025-09-11","bank_interest_credit","income_receipt","25331","INR","INC001302",,,"matched"
"synthetic","generated_for_testing","TXN00164","USR0014","2025-09-12","freelance_receipt","income_receipt","25468","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00165","USR0015","2025-09-13","investment_purchase","investment_acquisition","25605","INR","INCX0015purchase",,,"review"
"synthetic","generated_for_testing","TXN00166","USR0016","2025-09-14","investment_sale","investment_disposal","25742","INR","INCX0016sale","INV0016","CG0016","matched"
"synthetic","generated_for_testing","TXN00167","USR0017","2025-09-15","rent_receipt","income_receipt","25879","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00168","USR0018","2025-09-16","salary_credit","income_receipt","26016","INR","INC001801",,,"matched"
"synthetic","generated_for_testing","TXN00169","USR0019","2025-09-17","bank_interest_credit","income_receipt","26153","INR","INC001902",,,"matched"
"synthetic","generated_for_testing","TXN00170","USR0020","2025-09-18","freelance_receipt","income_receipt","26290","INR",,,,"review"
"synthetic","generated_for_testing","TXN00171","USR0021","2025-09-19","investment_purchase","investment_acquisition","26427","INR","INCX0021purchase",,,"matched"
"synthetic","generated_for_testing","TXN00172","USR0022","2025-09-20","investment_sale","investment_disposal","26564","INR","INCX0022sale","INV0022",,"matched"
"synthetic","generated_for_testing","TXN00173","USR0023","2025-09-21","rent_receipt","income_receipt","26701","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00174","USR0024","2025-09-22","salary_credit","income_receipt","26838","INR","INC002401",,,"matched"
"synthetic","generated_for_testing","TXN00175","USR0025","2025-09-23","bank_interest_credit","income_receipt","26975","INR","INC002502",,,"review"
"synthetic","generated_for_testing","TXN00176","USR0026","2025-09-24","freelance_receipt","income_receipt","27112","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00177","USR0027","2025-09-25","investment_purchase","investment_acquisition","27249","INR","INCX0027purchase",,,"matched"
"synthetic","generated_for_testing","TXN00178","USR0028","2025-09-26","investment_sale","investment_disposal","27386","INR","INCX0028sale","INV0028","CG0028","matched"
"synthetic","generated_for_testing","TXN00179","USR0029","2025-09-27","rent_receipt","income_receipt","27523","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00180","USR0030","2025-09-28","salary_credit","income_receipt","27660","INR","INC003001",,,"review"
"synthetic","generated_for_testing","TXN00181","USR0031","2025-09-29","bank_interest_credit","income_receipt","27797","INR","INC003102",,,"matched"
"synthetic","generated_for_testing","TXN00182","USR0032","2025-09-30","freelance_receipt","income_receipt","27934","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00183","USR0033","2025-10-01","investment_purchase","investment_acquisition","28071","INR","INCX0033purchase",,,"matched"
"synthetic","generated_for_testing","TXN00184","USR0034","2025-10-02","investment_sale","investment_disposal","28208","INR","INCX0034sale","INV0034",,"matched"
"synthetic","generated_for_testing","TXN00185","USR0035","2025-10-03","rent_receipt","income_receipt","28345","INR","INC003503",,,"review"
"synthetic","generated_for_testing","TXN00186","USR0036","2025-10-04","salary_credit","income_receipt","28482","INR","INC003601",,,"matched"
"synthetic","generated_for_testing","TXN00187","USR0037","2025-10-05","bank_interest_credit","income_receipt","28619","INR","INC003702",,,"matched"
"synthetic","generated_for_testing","TXN00188","USR0038","2025-10-06","freelance_receipt","income_receipt","28756","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00189","USR0039","2025-10-07","investment_purchase","investment_acquisition","28893","INR","INCX0039purchase",,,"matched"
"synthetic","generated_for_testing","TXN00190","USR0040","2025-10-08","investment_sale","investment_disposal","29030","INR","INCX0040sale","INV0040","CG0040","review"
"synthetic","generated_for_testing","TXN00191","USR0041","2025-10-09","rent_receipt","income_receipt","29167","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00192","USR0042","2025-10-10","salary_credit","income_receipt","29304","INR","INC004201",,,"matched"
"synthetic","generated_for_testing","TXN00193","USR0043","2025-10-11","bank_interest_credit","income_receipt","29441","INR","INC004302",,,"matched"
"synthetic","generated_for_testing","TXN00194","USR0044","2025-10-12","freelance_receipt","income_receipt","29578","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00195","USR0045","2025-10-13","investment_purchase","investment_acquisition","29715","INR","INCX0045purchase",,,"review"
"synthetic","generated_for_testing","TXN00196","USR0046","2025-10-14","investment_sale","investment_disposal","29852","INR","INCX0046sale","INV0046",,"matched"
"synthetic","generated_for_testing","TXN00197","USR0047","2025-10-15","rent_receipt","income_receipt","29989","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00198","USR0048","2025-10-16","salary_credit","income_receipt","30126","INR","INC004801",,,"matched"
"synthetic","generated_for_testing","TXN00199","USR0049","2025-10-17","bank_interest_credit","income_receipt","30263","INR","INC004902",,,"matched"
"synthetic","generated_for_testing","TXN00200","USR0050","2025-10-18","freelance_receipt","income_receipt","30400","INR",,,,"review"
"synthetic","generated_for_testing","TXN00201","USR0001","2025-10-19","investment_purchase","investment_acquisition","30537","INR","INCX0001purchase",,,"matched"
"synthetic","generated_for_testing","TXN00202","USR0002","2025-10-20","investment_sale","investment_disposal","30674","INR","INCX0002sale","INV0002",,"matched"
"synthetic","generated_for_testing","TXN00203","USR0003","2025-10-21","rent_receipt","income_receipt","30811","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00204","USR0004","2025-10-22","salary_credit","income_receipt","30948","INR","INC000401",,,"matched"
"synthetic","generated_for_testing","TXN00205","USR0005","2025-10-23","bank_interest_credit","income_receipt","31085","INR","INC000502",,,"review"
"synthetic","generated_for_testing","TXN00206","USR0006","2025-10-24","freelance_receipt","income_receipt","31222","INR","INC000603",,,"matched"
"synthetic","generated_for_testing","TXN00207","USR0007","2025-10-25","investment_purchase","investment_acquisition","31359","INR","INCX0007purchase",,,"matched"
"synthetic","generated_for_testing","TXN00208","USR0008","2025-10-26","investment_sale","investment_disposal","31496","INR","INCX0008sale","INV0008","CG0008","matched"
"synthetic","generated_for_testing","TXN00209","USR0009","2025-10-27","rent_receipt","income_receipt","31633","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00210","USR0010","2025-10-28","salary_credit","income_receipt","31770","INR","INC001001",,,"review"
"synthetic","generated_for_testing","TXN00211","USR0011","2025-10-29","bank_interest_credit","income_receipt","31907","INR","INC001102",,,"matched"
"synthetic","generated_for_testing","TXN00212","USR0012","2025-10-30","freelance_receipt","income_receipt","32044","INR","INC001203",,,"matched"
"synthetic","generated_for_testing","TXN00213","USR0013","2025-10-31","investment_purchase","investment_acquisition","32181","INR","INCX0013purchase",,,"matched"
"synthetic","generated_for_testing","TXN00214","USR0014","2025-11-01","investment_sale","investment_disposal","32318","INR","INCX0014sale","INV0014",,"matched"
