"data_type","synthetic_source","tax_assessment_id","user_id","assessment_year","financial_year","tax_regime","gross_total_income","salary_standard_deduction","interest_deduction","chapter_via_deduction","municipal_taxes_paid","house_property_standard_deduction","house_property_net_income","house_property_setoff_allowed","taxable_income","income_tax","special_rate_tax","cess","tds_credit","net_tax_payable","calculation_status","calculation_rule_set"
"synthetic","generated_for_testing","TAX0020","USR0020","2026-27","2025-26","old","1008000","50000","24000","44000","1200","6840.0","15960.0","15960","905960","93692.0","0","3747.68","28800","68640","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0021","USR0021","2026-27","2025-26","old","1027200","50000","10000","70500","0","0.0","0.0","0","906700","93840.0","0","3753.60","30078","67516","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0022","USR0022","2026-27","2025-26","old","1046400","50000","25200","25200","0","0.0","0.0","0","971200","106740.0","0","4269.60","29880","81130","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0023","USR0023","2026-27","2025-26","old","1065600","50000","25800","25800","0","0.0","0.0","0","989800","110460.0","0","4418.40","30420","84458","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0024","USR0024","2026-27","2025-26","old","1084800","50000","10000","72000","0","0.0","0.0","0","962800","105060.0","0","4202.40","31752","77510","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0025","USR0025","2026-27","2025-26","old","1104000","50000","27000","47500","1350","7695.0","17955.0","17955","997455","111991.0","0","4479.64","31500","84971","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0026","USR0026","2026-27","2025-26","old","1123200","50000","27600","27600","0","0.0","0.0","0","1045600","126180.0","0","5047.20","32040","99187","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0027","USR0027","2026-27","2025-26","old","1142400","50000","10000","73500","0","0.0","0.0","0","1018900","118170.0","0","4726.80","33426","89471","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0028","USR0028","2026-27","2025-26","old","1161600","50000","28800","28800","0","0.0","0.0","0","1082800","137340.0","0","5493.60","33120","109714","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0029","USR0029","2026-27","2025-26","old","1180800","50000","29400","29400","0","0.0","0.0","0","1101400","142920.0","0","5716.80","33660","114977","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0030","USR0030","2026-27","2025-26","old","1200000","50000","10000","96000","0","0.0","0.0","0","1054000","128700.0","0","5148.00","35100","98748","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0031","USR0031","2026-27","2025-26","old","1219200","50000","30600","30600","0","0.0","0.0","0","1138600","154080.0","0","6163.20","34740","125503","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0032","USR0032","2026-27","2025-26","old","1238400","50000","31200","31200","0","0.0","0.0","0","1157200","159660.0","0","6386.40","35280","130766","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0033","USR0033","2026-27","2025-26","old","1257600","50000","10000","76500","0","0.0","0.0","0","1131100","151830.0","0","6073.20","36774","121129","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0034","USR0034","2026-27","2025-26","old","1276800","50000","32400","32400","0","0.0","0.0","0","1194400","170820.0","0","6832.80","36360","141293","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0035","USR0035","2026-27","2025-26","old","1296000","50000","33000","54500","1650","9405.0","-108055.0","-108055","1050445","127633.5","0","5105.34","36900","95839","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0036","USR0036","2026-27","2025-26","old","1315200","50000","10000","78000","0","0.0","0.0","0","1187200","168660.0","0","6746.40","38448","136958","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0037","USR0037","2026-27","2025-26","old","1334400","50000","34200","34200","0","0.0","0.0","0","1250200","187560.0","0","7502.40","37980","157082","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0038","USR0038","2026-27","2025-26","old","1353600","50000","34800","34800","0","0.0","0.0","0","1268800","193140.0","0","7725.60","38520","162346","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0039","USR0039","2026-27","2025-26","old","1372800","50000","10000","79500","0","0.0","0.0","0","1243300","185490.0","0","7419.60","40122","152788","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0040","USR0040","2026-27","2025-26","old","1392000","50000","36000","58000","1800","10260.0","23940.0","23940","1271940","194082.0","0","7763.28","39600","162245","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0041","USR0041","2026-27","2025-26","old","1411200","50000","36600","36600","0","0.0","0.0","0","1324600","209880.0","0","8395.20","40140","178135","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0042","USR0042","2026-27","2025-26","old","1430400","50000","10000","81000","0","0.0","0.0","0","1299400","202320.0","0","8092.80","41796","168617","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0043","USR0043","2026-27","2025-26","old","1449600","50000","37800","37800","0","0.0","0.0","0","1361800","221040.0","0","8841.60","41220","188662","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0044","USR0044","2026-27","2025-26","old","1468800","50000","38400","38400","0","0.0","0.0","0","1380400","226620.0","0","9064.80","41760","193925","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0045","USR0045","2026-27","2025-26","old","1488000","50000","10000","105000","0","0.0","0.0","0","1333000","212400.0","0","8496.00","43470","177426","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0046","USR0046","2026-27","2025-26","old","1507200","50000","39600","39600","0","0.0","0.0","0","1417600","237780.0","0","9511.20","42840","204451","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0047","USR0047","2026-27","2025-26","old","1526400","50000","40200","40200","0","0.0","0.0","0","1436200","243360.0","0","9734.40","43380","209714","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0048","USR0048","2026-27","2025-26","old","1545600","50000","10000","84000","0","0.0","0.0","0","1411600","235980.0","0","9439.20","45144","200275","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0049","USR0049","2026-27","2025-26","old","1564800","50000","41400","41400","0","0.0","0.0","0","1473400","254520.0","0","10180.80","44460","220241","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0050","USR0050","2026-27","2025-26","old","1584000","50000","42000","65000","2100","11970.0","27930.0","27930","1454930","248979.0","0","9959.16","45000","213938","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
